sequence_name	target_start	target_end	amplicon_name	fprimer_start	fprimer_end	fprimer_name	rprimer_start	rprimer_end	rprimer_name	forward_sequence	reverse_sequence
NC_045512.2	3992	4212	QIAseq_29_LEFT|QIAseq_29-2_RIGHT	3992	4017	QIAseq_29_LEFT	4188	4212	QIAseq_29-2_RIGHT		
NC_045512.2	3992	4228	QIAseq_29_LEFT|QIAseq_29_RIGHT	3992	4017	QIAseq_29_LEFT	4205	4228	QIAseq_29_RIGHT		
NC_045512.2	3992	4235	QIAseq_29_LEFT|QIAseq_29-3_RIGHT	3992	4017	QIAseq_29_LEFT	4212	4235	QIAseq_29-3_RIGHT		
NC_045512.2	3992	4246	QIAseq_29_LEFT|QIAseq_29-4_RIGHT	3992	4017	QIAseq_29_LEFT	4217	4246	QIAseq_29-4_RIGHT		
NC_045512.2	4004	4212	QIAseq_29-2_LEFT|QIAseq_29-2_RIGHT	4004	4032	QIAseq_29-2_LEFT	4188	4212	QIAseq_29-2_RIGHT		
NC_045512.2	4004	4228	QIAseq_29-2_LEFT|QIAseq_29_RIGHT	4004	4032	QIAseq_29-2_LEFT	4205	4228	QIAseq_29_RIGHT		
NC_045512.2	4004	4235	QIAseq_29-2_LEFT|QIAseq_29-3_RIGHT	4004	4032	QIAseq_29-2_LEFT	4212	4235	QIAseq_29-3_RIGHT		
NC_045512.2	4004	4246	QIAseq_29-2_LEFT|QIAseq_29-4_RIGHT	4004	4032	QIAseq_29-2_LEFT	4217	4246	QIAseq_29-4_RIGHT		
NC_045512.2	4008	4212	QIAseq_29-3_LEFT|QIAseq_29-2_RIGHT	4008	4039	QIAseq_29-3_LEFT	4188	4212	QIAseq_29-2_RIGHT		
NC_045512.2	4008	4228	QIAseq_29-3_LEFT|QIAseq_29_RIGHT	4008	4039	QIAseq_29-3_LEFT	4205	4228	QIAseq_29_RIGHT		
NC_045512.2	4008	4235	QIAseq_29-3_LEFT|QIAseq_29-3_RIGHT	4008	4039	QIAseq_29-3_LEFT	4212	4235	QIAseq_29-3_RIGHT		
NC_045512.2	4008	4246	QIAseq_29-3_LEFT|QIAseq_29-4_RIGHT	4008	4039	QIAseq_29-3_LEFT	4217	4246	QIAseq_29-4_RIGHT		
NC_045512.2	4125	4344	QIAseq_30_LEFT|QIAseq_30_RIGHT	4125	4147	QIAseq_30_LEFT	4315	4344	QIAseq_30_RIGHT		
NC_045512.2	4252	4477	QIAseq_31_LEFT|QIAseq_31_RIGHT	4252	4274	QIAseq_31_LEFT	4452	4477	QIAseq_31_RIGHT		
NC_045512.2	4369	4617	QIAseq_32_LEFT|QIAseq_32_RIGHT	4369	4393	QIAseq_32_LEFT	4594	4617	QIAseq_32_RIGHT		
NC_045512.2	4494	4746	QIAseq_33-2_LEFT|QIAseq_33-2_RIGHT	4494	4520	QIAseq_33-2_LEFT	4717	4746	QIAseq_33-2_RIGHT		
NC_045512.2	4494	4761	QIAseq_33-2_LEFT|QIAseq_33_RIGHT	4494	4520	QIAseq_33-2_LEFT	4732	4761	QIAseq_33_RIGHT		
NC_045512.2	4494	4777	QIAseq_33-2_LEFT|QIAseq_33-3_RIGHT	4494	4520	QIAseq_33-2_LEFT	4748	4777	QIAseq_33-3_RIGHT		
NC_045512.2	4494	4791	QIAseq_33-2_LEFT|QIAseq_33-4_RIGHT	4494	4520	QIAseq_33-2_LEFT	4766	4791	QIAseq_33-4_RIGHT		
NC_045512.2	4503	4746	QIAseq_33_LEFT|QIAseq_33-2_RIGHT	4503	4525	QIAseq_33_LEFT	4717	4746	QIAseq_33-2_RIGHT		
NC_045512.2	4503	4761	QIAseq_33_LEFT|QIAseq_33_RIGHT	4503	4525	QIAseq_33_LEFT	4732	4761	QIAseq_33_RIGHT		
NC_045512.2	4503	4777	QIAseq_33_LEFT|QIAseq_33-3_RIGHT	4503	4525	QIAseq_33_LEFT	4748	4777	QIAseq_33-3_RIGHT		
NC_045512.2	4503	4791	QIAseq_33_LEFT|QIAseq_33-4_RIGHT	4503	4525	QIAseq_33_LEFT	4766	4791	QIAseq_33-4_RIGHT		
NC_045512.2	4509	4746	QIAseq_33-3_LEFT|QIAseq_33-2_RIGHT	4509	4540	QIAseq_33-3_LEFT	4717	4746	QIAseq_33-2_RIGHT		
NC_045512.2	4509	4761	QIAseq_33-3_LEFT|QIAseq_33_RIGHT	4509	4540	QIAseq_33-3_LEFT	4732	4761	QIAseq_33_RIGHT		
NC_045512.2	4509	4777	QIAseq_33-3_LEFT|QIAseq_33-3_RIGHT	4509	4540	QIAseq_33-3_LEFT	4748	4777	QIAseq_33-3_RIGHT		
NC_045512.2	4509	4791	QIAseq_33-3_LEFT|QIAseq_33-4_RIGHT	4509	4540	QIAseq_33-3_LEFT	4766	4791	QIAseq_33-4_RIGHT		
NC_045512.2	4520	4746	QIAseq_33-4_LEFT|QIAseq_33-2_RIGHT	4520	4548	QIAseq_33-4_LEFT	4717	4746	QIAseq_33-2_RIGHT		
NC_045512.2	4520	4761	QIAseq_33-4_LEFT|QIAseq_33_RIGHT	4520	4548	QIAseq_33-4_LEFT	4732	4761	QIAseq_33_RIGHT		
NC_045512.2	4520	4777	QIAseq_33-4_LEFT|QIAseq_33-3_RIGHT	4520	4548	QIAseq_33-4_LEFT	4748	4777	QIAseq_33-3_RIGHT		
NC_045512.2	4520	4791	QIAseq_33-4_LEFT|QIAseq_33-4_RIGHT	4520	4548	QIAseq_33-4_LEFT	4766	4791	QIAseq_33-4_RIGHT		
NC_045512.2	4690	4944	QIAseq_34_LEFT|QIAseq_34_RIGHT	4690	4713	QIAseq_34_LEFT	4917	4944	QIAseq_34_RIGHT		
NC_045512.2	4812	5056	QIAseq_35_LEFT|QIAseq_35_RIGHT	4812	4837	QIAseq_35_LEFT	5034	5056	QIAseq_35_RIGHT		
NC_045512.2	4949	5212	QIAseq_36_LEFT|QIAseq_36_RIGHT	4949	4975	QIAseq_36_LEFT	5190	5212	QIAseq_36_RIGHT		
NC_045512.2	5065	5345	QIAseq_37-2_LEFT|QIAseq_37-3_RIGHT	5065	5093	QIAseq_37-2_LEFT	5317	5345	QIAseq_37-3_RIGHT		
NC_045512.2	5065	5358	QIAseq_37-2_LEFT|QIAseq_37_RIGHT	5065	5093	QIAseq_37-2_LEFT	5336	5358	QIAseq_37_RIGHT		
NC_045512.2	5065	5368	QIAseq_37-2_LEFT|QIAseq_37-2_RIGHT	5065	5093	QIAseq_37-2_LEFT	5342	5368	QIAseq_37-2_RIGHT		
NC_045512.2	5088	5345	QIAseq_37_LEFT|QIAseq_37-3_RIGHT	5088	5116	QIAseq_37_LEFT	5317	5345	QIAseq_37-3_RIGHT		
NC_045512.2	5088	5358	QIAseq_37_LEFT|QIAseq_37_RIGHT	5088	5116	QIAseq_37_LEFT	5336	5358	QIAseq_37_RIGHT		
NC_045512.2	5088	5368	QIAseq_37_LEFT|QIAseq_37-2_RIGHT	5088	5116	QIAseq_37_LEFT	5342	5368	QIAseq_37-2_RIGHT		
NC_045512.2	5119	5345	QIAseq_37-3_LEFT|QIAseq_37-3_RIGHT	5119	5148	QIAseq_37-3_LEFT	5317	5345	QIAseq_37-3_RIGHT		
NC_045512.2	5119	5358	QIAseq_37-3_LEFT|QIAseq_37_RIGHT	5119	5148	QIAseq_37-3_LEFT	5336	5358	QIAseq_37_RIGHT		
NC_045512.2	5119	5368	QIAseq_37-3_LEFT|QIAseq_37-2_RIGHT	5119	5148	QIAseq_37-3_LEFT	5342	5368	QIAseq_37-2_RIGHT		
NC_045512.2	5230	5483	QIAseq_38_LEFT|QIAseq_38_RIGHT	5230	5256	QIAseq_38_LEFT	5459	5483	QIAseq_38_RIGHT		
NC_045512.2	5230	5496	QIAseq_38_LEFT|QIAseq_38-2_RIGHT	5230	5256	QIAseq_38_LEFT	5469	5496	QIAseq_38-2_RIGHT		
NC_045512.2	5230	5515	QIAseq_38_LEFT|QIAseq_38-3_RIGHT	5230	5256	QIAseq_38_LEFT	5492	5515	QIAseq_38-3_RIGHT		
NC_045512.2	5249	5483	QIAseq_38-2_LEFT|QIAseq_38_RIGHT	5249	5277	QIAseq_38-2_LEFT	5459	5483	QIAseq_38_RIGHT		
NC_045512.2	5249	5496	QIAseq_38-2_LEFT|QIAseq_38-2_RIGHT	5249	5277	QIAseq_38-2_LEFT	5469	5496	QIAseq_38-2_RIGHT		
NC_045512.2	5249	5515	QIAseq_38-2_LEFT|QIAseq_38-3_RIGHT	5249	5277	QIAseq_38-2_LEFT	5492	5515	QIAseq_38-3_RIGHT		
NC_045512.2	5257	5483	QIAseq_38-3_LEFT|QIAseq_38_RIGHT	5257	5285	QIAseq_38-3_LEFT	5459	5483	QIAseq_38_RIGHT		
NC_045512.2	5257	5496	QIAseq_38-3_LEFT|QIAseq_38-2_RIGHT	5257	5285	QIAseq_38-3_LEFT	5469	5496	QIAseq_38-2_RIGHT		
NC_045512.2	5257	5515	QIAseq_38-3_LEFT|QIAseq_38-3_RIGHT	5257	5285	QIAseq_38-3_LEFT	5492	5515	QIAseq_38-3_RIGHT		
NC_045512.2	5379	5632	QIAseq_39_LEFT|QIAseq_39_RIGHT	5379	5402	QIAseq_39_LEFT	5608	5632	QIAseq_39_RIGHT		
NC_045512.2	5524	5744	QIAseq_40_LEFT|QIAseq_40_RIGHT	5524	5546	QIAseq_40_LEFT	5718	5744	QIAseq_40_RIGHT		
NC_045512.2	5664	5902	QIAseq_41_LEFT|QIAseq_41_RIGHT	5664	5690	QIAseq_41_LEFT	5876	5902	QIAseq_41_RIGHT		
NC_045512.2	5794	6013	QIAseq_42_LEFT|QIAseq_42_RIGHT	5794	5818	QIAseq_42_LEFT	5988	6013	QIAseq_42_RIGHT		
NC_045512.2	5914	6177	QIAseq_43_LEFT|QIAseq_43_RIGHT	5914	5939	QIAseq_43_LEFT	6155	6177	QIAseq_43_RIGHT		
NC_045512.2	6073	6308	QIAseq_44_LEFT|QIAseq_44_RIGHT	6073	6101	QIAseq_44_LEFT	6284	6308	QIAseq_44_RIGHT		
NC_045512.2	6185	6423	QIAseq_45_LEFT|QIAseq_45_RIGHT	6185	6211	QIAseq_45_LEFT	6399	6423	QIAseq_45_RIGHT		
NC_045512.2	6341	6550	QIAseq_46_LEFT|QIAseq_46_RIGHT	6341	6363	QIAseq_46_LEFT	6528	6550	QIAseq_46_RIGHT		
NC_045512.2	6430	6672	QIAseq_47_LEFT|QIAseq_47_RIGHT	6430	6455	QIAseq_47_LEFT	6649	6672	QIAseq_47_RIGHT		
NC_045512.2	6551	6780	QIAseq_48_LEFT|QIAseq_48-2_RIGHT	6551	6577	QIAseq_48_LEFT	6750	6780	QIAseq_48-2_RIGHT		
NC_045512.2	6551	6804	QIAseq_48_LEFT|QIAseq_48-3_RIGHT	6551	6577	QIAseq_48_LEFT	6772	6804	QIAseq_48-3_RIGHT		
NC_045512.2	6551	6820	QIAseq_48_LEFT|QIAseq_48_RIGHT	6551	6577	QIAseq_48_LEFT	6791	6820	QIAseq_48_RIGHT		
NC_045512.2	6556	6780	QIAseq_48-2_LEFT|QIAseq_48-2_RIGHT	6556	6589	QIAseq_48-2_LEFT	6750	6780	QIAseq_48-2_RIGHT		
NC_045512.2	6556	6804	QIAseq_48-2_LEFT|QIAseq_48-3_RIGHT	6556	6589	QIAseq_48-2_LEFT	6772	6804	QIAseq_48-3_RIGHT		
NC_045512.2	6556	6820	QIAseq_48-2_LEFT|QIAseq_48_RIGHT	6556	6589	QIAseq_48-2_LEFT	6791	6820	QIAseq_48_RIGHT		
NC_045512.2	6562	6780	QIAseq_48-3_LEFT|QIAseq_48-2_RIGHT	6562	6595	QIAseq_48-3_LEFT	6750	6780	QIAseq_48-2_RIGHT		
NC_045512.2	6562	6804	QIAseq_48-3_LEFT|QIAseq_48-3_RIGHT	6562	6595	QIAseq_48-3_LEFT	6772	6804	QIAseq_48-3_RIGHT		
NC_045512.2	6562	6820	QIAseq_48-3_LEFT|QIAseq_48_RIGHT	6562	6595	QIAseq_48-3_LEFT	6791	6820	QIAseq_48_RIGHT		
NC_045512.2	6680	6907	QIAseq_49-2_LEFT|QIAseq_49-2_RIGHT	6680	6710	QIAseq_49-2_LEFT	6882	6907	QIAseq_49-2_RIGHT		
NC_045512.2	6680	6922	QIAseq_49-2_LEFT|QIAseq_49-3_RIGHT	6680	6710	QIAseq_49-2_LEFT	6892	6922	QIAseq_49-3_RIGHT		
NC_045512.2	6680	6928	QIAseq_49-2_LEFT|QIAseq_49_RIGHT	6680	6710	QIAseq_49-2_LEFT	6900	6928	QIAseq_49_RIGHT		
NC_045512.2	6687	6907	QIAseq_49_LEFT|QIAseq_49-2_RIGHT	6687	6714	QIAseq_49_LEFT	6882	6907	QIAseq_49-2_RIGHT		
NC_045512.2	6687	6922	QIAseq_49_LEFT|QIAseq_49-3_RIGHT	6687	6714	QIAseq_49_LEFT	6892	6922	QIAseq_49-3_RIGHT		
NC_045512.2	6687	6928	QIAseq_49_LEFT|QIAseq_49_RIGHT	6687	6714	QIAseq_49_LEFT	6900	6928	QIAseq_49_RIGHT		
NC_045512.2	6713	6907	QIAseq_49-3_LEFT|QIAseq_49-2_RIGHT	6713	6742	QIAseq_49-3_LEFT	6882	6907	QIAseq_49-2_RIGHT		
NC_045512.2	6713	6922	QIAseq_49-3_LEFT|QIAseq_49-3_RIGHT	6713	6742	QIAseq_49-3_LEFT	6892	6922	QIAseq_49-3_RIGHT		
NC_045512.2	6713	6928	QIAseq_49-3_LEFT|QIAseq_49_RIGHT	6713	6742	QIAseq_49-3_LEFT	6900	6928	QIAseq_49_RIGHT		
NC_045512.2	6838	7064	QIAseq_50_LEFT|QIAseq_50_RIGHT	6838	6862	QIAseq_50_LEFT	7039	7064	QIAseq_50_RIGHT		
NC_045512.2	6988	7230	QIAseq_51_LEFT|QIAseq_51_RIGHT	6988	7013	QIAseq_51_LEFT	7201	7230	QIAseq_51_RIGHT		
NC_045512.2	7097	7355	QIAseq_52_LEFT|QIAseq_52_RIGHT	7097	7120	QIAseq_52_LEFT	7325	7355	QIAseq_52_RIGHT		
NC_045512.2	7234	7476	QIAseq_53_LEFT|QIAseq_53_RIGHT	7234	7256	QIAseq_53_LEFT	7454	7476	QIAseq_53_RIGHT		
NC_045512.2	7383	7605	QIAseq_54_LEFT|QIAseq_54_RIGHT	7383	7405	QIAseq_54_LEFT	7582	7605	QIAseq_54_RIGHT		
NC_045512.2	7506	7740	QIAseq_55_LEFT|QIAseq_55_RIGHT	7506	7530	QIAseq_55_LEFT	7716	7740	QIAseq_55_RIGHT		
NC_045512.2	7627	7852	QIAseq_56_LEFT|QIAseq_56_RIGHT	7627	7651	QIAseq_56_LEFT	7827	7852	QIAseq_56_RIGHT		
NC_045512.2	7741	8007	QIAseq_57_LEFT|QIAseq_57_RIGHT	7741	7766	QIAseq_57_LEFT	7983	8007	QIAseq_57_RIGHT		
NC_045512.2	7911	8129	QIAseq_58_LEFT|QIAseq_58_RIGHT	7911	7936	QIAseq_58_LEFT	8107	8129	QIAseq_58_RIGHT		
NC_045512.2	8007	8269	QIAseq_59_LEFT|QIAseq_59_RIGHT	8007	8029	QIAseq_59_LEFT	8245	8269	QIAseq_59_RIGHT		
NC_045512.2	8175	8384	QIAseq_60_LEFT|QIAseq_60_RIGHT	8175	8197	QIAseq_60_LEFT	8362	8384	QIAseq_60_RIGHT		
NC_045512.2	8303	8514	QIAseq_61_LEFT|QIAseq_61_RIGHT	8303	8325	QIAseq_61_LEFT	8489	8514	QIAseq_61_RIGHT		
NC_045512.2	8384	8626	QIAseq_62_LEFT|QIAseq_62_RIGHT	8384	8409	QIAseq_62_LEFT	8600	8626	QIAseq_62_RIGHT		
NC_045512.2	8530	8777	QIAseq_63_LEFT|QIAseq_63_RIGHT	8530	8554	QIAseq_63_LEFT	8752	8777	QIAseq_63_RIGHT		
NC_045512.2	8630	8887	QIAseq_64-2_LEFT|QIAseq_64_RIGHT	8630	8659	QIAseq_64-2_LEFT	8865	8887	QIAseq_64_RIGHT		
NC_045512.2	8630	8900	QIAseq_64-2_LEFT|QIAseq_64-2_RIGHT	8630	8659	QIAseq_64-2_LEFT	8876	8900	QIAseq_64-2_RIGHT		
NC_045512.2	8630	8915	QIAseq_64-2_LEFT|QIAseq_64-3_RIGHT	8630	8659	QIAseq_64-2_LEFT	8889	8915	QIAseq_64-3_RIGHT		
NC_045512.2	8636	8887	QIAseq_64_LEFT|QIAseq_64_RIGHT	8636	8661	QIAseq_64_LEFT	8865	8887	QIAseq_64_RIGHT		
NC_045512.2	8636	8900	QIAseq_64_LEFT|QIAseq_64-2_RIGHT	8636	8661	QIAseq_64_LEFT	8876	8900	QIAseq_64-2_RIGHT		
NC_045512.2	8636	8915	QIAseq_64_LEFT|QIAseq_64-3_RIGHT	8636	8661	QIAseq_64_LEFT	8889	8915	QIAseq_64-3_RIGHT		
NC_045512.2	8651	8887	QIAseq_64-3_LEFT|QIAseq_64_RIGHT	8651	8679	QIAseq_64-3_LEFT	8865	8887	QIAseq_64_RIGHT		
NC_045512.2	8651	8900	QIAseq_64-3_LEFT|QIAseq_64-2_RIGHT	8651	8679	QIAseq_64-3_LEFT	8876	8900	QIAseq_64-2_RIGHT		
NC_045512.2	8651	8915	QIAseq_64-3_LEFT|QIAseq_64-3_RIGHT	8651	8679	QIAseq_64-3_LEFT	8889	8915	QIAseq_64-3_RIGHT		
NC_045512.2	8661	8887	QIAseq_64-4_LEFT|QIAseq_64_RIGHT	8661	8690	QIAseq_64-4_LEFT	8865	8887	QIAseq_64_RIGHT		
NC_045512.2	8661	8900	QIAseq_64-4_LEFT|QIAseq_64-2_RIGHT	8661	8690	QIAseq_64-4_LEFT	8876	8900	QIAseq_64-2_RIGHT		
NC_045512.2	8661	8915	QIAseq_64-4_LEFT|QIAseq_64-3_RIGHT	8661	8690	QIAseq_64-4_LEFT	8889	8915	QIAseq_64-3_RIGHT		
NC_045512.2	8807	9020	QIAseq_65_LEFT|QIAseq_65_RIGHT	8807	8829	QIAseq_65_LEFT	8998	9020	QIAseq_65_RIGHT		
NC_045512.2	8919	9143	QIAseq_66_LEFT|QIAseq_66_RIGHT	8919	8944	QIAseq_66_LEFT	9121	9143	QIAseq_66_RIGHT		
NC_045512.2	9042	9262	QIAseq_67_LEFT|QIAseq_67_RIGHT	9042	9069	QIAseq_67_LEFT	9238	9262	QIAseq_67_RIGHT		
NC_045512.2	9168	9400	QIAseq_68_LEFT|QIAseq_68_RIGHT	9168	9192	QIAseq_68_LEFT	9378	9400	QIAseq_68_RIGHT		
NC_045512.2	9306	9544	QIAseq_69_LEFT|QIAseq_69_RIGHT	9306	9329	QIAseq_69_LEFT	9518	9544	QIAseq_69_RIGHT		
NC_045512.2	9429	9667	QIAseq_70_LEFT|QIAseq_70_RIGHT	9429	9452	QIAseq_70_LEFT	9644	9667	QIAseq_70_RIGHT		
NC_045512.2	9546	9792	QIAseq_71_LEFT|QIAseq_71-3_RIGHT	9546	9572	QIAseq_71_LEFT	9762	9792	QIAseq_71-3_RIGHT		
NC_045512.2	9546	9802	QIAseq_71_LEFT|QIAseq_71_RIGHT	9546	9572	QIAseq_71_LEFT	9776	9802	QIAseq_71_RIGHT		
NC_045512.2	9546	9825	QIAseq_71_LEFT|QIAseq_71-2_RIGHT	9546	9572	QIAseq_71_LEFT	9800	9825	QIAseq_71-2_RIGHT		
NC_045512.2	9558	9792	QIAseq_71-2_LEFT|QIAseq_71-3_RIGHT	9558	9585	QIAseq_71-2_LEFT	9762	9792	QIAseq_71-3_RIGHT		
NC_045512.2	9558	9802	QIAseq_71-2_LEFT|QIAseq_71_RIGHT	9558	9585	QIAseq_71-2_LEFT	9776	9802	QIAseq_71_RIGHT		
NC_045512.2	9558	9825	QIAseq_71-2_LEFT|QIAseq_71-2_RIGHT	9558	9585	QIAseq_71-2_LEFT	9800	9825	QIAseq_71-2_RIGHT		
NC_045512.2	9571	9792	QIAseq_71-3_LEFT|QIAseq_71-3_RIGHT	9571	9603	QIAseq_71-3_LEFT	9762	9792	QIAseq_71-3_RIGHT		
NC_045512.2	9571	9802	QIAseq_71-3_LEFT|QIAseq_71_RIGHT	9571	9603	QIAseq_71-3_LEFT	9776	9802	QIAseq_71_RIGHT		
NC_045512.2	9571	9825	QIAseq_71-3_LEFT|QIAseq_71-2_RIGHT	9571	9603	QIAseq_71-3_LEFT	9800	9825	QIAseq_71-2_RIGHT		
NC_045512.2	9691	9941	QIAseq_72_LEFT|QIAseq_72_RIGHT	9691	9720	QIAseq_72_LEFT	9917	9941	QIAseq_72_RIGHT		
NC_045512.2	9834	10055	QIAseq_73_LEFT|QIAseq_73_RIGHT	9834	9858	QIAseq_73_LEFT	10033	10055	QIAseq_73_RIGHT		
NC_045512.2	9963	10190	QIAseq_74_LEFT|QIAseq_74_RIGHT	9963	9985	QIAseq_74_LEFT	10168	10190	QIAseq_74_RIGHT		
NC_045512.2	10070	10337	QIAseq_75_LEFT|QIAseq_75_RIGHT	10070	10092	QIAseq_75_LEFT	10311	10337	QIAseq_75_RIGHT		
NC_045512.2	10235	10453	QIAseq_76_LEFT|QIAseq_76_RIGHT	10235	10263	QIAseq_76_LEFT	10431	10453	QIAseq_76_RIGHT		
NC_045512.2	10361	10584	QIAseq_77_LEFT|QIAseq_77_RIGHT	10361	10383	QIAseq_77_LEFT	10562	10584	QIAseq_77_RIGHT		
